2016p664132	2016-09-02T17:30:02.931Z	179.0791321	-37.25114059	4.6	21.6	gisborne
2016p664256	2016-09-02T18:36:00.466Z	178.8742828	-37.42854309	4.1	19.8	gisborne
2016p665114	2016-09-03T02:12:54.101Z	178.882843	-37.30373383	4.6	12.0	gisborne
2016p665372	2016-09-03T04:30:10.197Z	179.1143341	-37.36350632	5.5	11.5	gisborne
2016p665395	2016-09-03T04:42:29.393Z	178.9542694	-37.43606949	4.1	18.4	gisborne
2016p665401	2016-09-03T04:45:43.904Z	178.9729614	-37.42346954	4.5	15.9	gisborne
2016p665404	2016-09-03T04:47:50.412Z	178.980896	-37.38009644	4.0	14.0	gisborne
2016p665449	2016-09-03T05:11:36.623Z	179.061142	-37.43625641	4.1	14.1	gisborne
2016p665461	2016-09-03T05:18:04.106Z	178.9003143	-37.44159317	4.6	17.9	gisborne
2016p666204	2016-09-03T11:53:24.618Z	179.3745575	-37.34913635	4.2	15.0	gisborne
2016p666385	2016-09-03T13:30:26.940Z	179.0248871	-37.38977051	5.5	17.6	gisborne
2016p666491	2016-09-03T14:26:28.498Z	179.1646423	-37.42195511	4.1	15.0	gisborne
2016p666557	2016-09-03T15:02:01.837Z	179.1686401	-37.30485916	4.4	21.8	gisborne
2016p666807	2016-09-03T17:14:51.683Z	179.1511688	-37.08040619	4.4	15.9	gisborne
2016p667761	2016-09-04T01:43:08.037Z	178.7924042	-37.31632233	4.1	10.0	gisborne
2016p668127	2016-09-04T04:58:10.078Z	178.9934845	-37.09790802	4.1	10.0	gisborne
2016p668280	2016-09-04T06:19:42.665Z	179.0209808	-37.09725952	5.0	15.0	gisborne
2016p669300	2016-09-04T15:23:23.443Z	178.8714905	-37.10700226	4.2	10.0	gisborne
2016p669820	2016-09-04T20:00:29.652Z	178.8164825	-37.35430527	5.1	15.0	gisborne
2016p671025	2016-09-05T06:42:19.050Z	178.9712524	-37.31166458	4.0	15.0	gisborne
2016p672169	2016-09-05T16:51:49.563Z	178.9866943	-37.18371582	4.1	15.0	gisborne
2016p672576	2016-09-05T20:29:04.513Z	179.0065308	-37.13171387	4.2	10.0	gisborne
2016p672801	2016-09-05T22:28:40.646Z	179.0519562	-37.0510025	4.3	15.0	gisborne
2016p672860	2016-09-05T23:00:17.126Z	178.8321838	-37.06171036	4.3	15.0	gisborne
2016p673159	2016-09-06T01:39:21.517Z	178.7066803	-37.03610992	4.2	12.0	gisborne
2016p676671	2016-09-07T08:50:26.850Z	178.9177094	-37.16963577	4.6	17.8	gisborne
2016p676673	2016-09-07T08:51:39.820Z	179.0127258	-37.33410263	4.6	24.8	gisborne
2016p676970	2016-09-07T11:29:47.430Z	175.8900644	-38.83043552	4.2	89.1	tongariro-bayofplenty
2016p683563	2016-09-09T22:02:49.615Z	173.9271704	-40.49306897	5.1	79.5	nelson-westcoast
2016p683634	2016-09-09T22:40:29.047Z	179.2495575	-37.13336945	4.0	24.8	gisborne
2016p685227	2016-09-10T12:49:11.704Z	178.9583893	-37.32061768	4.7	16.4	gisborne
2016p696414	2016-09-14T16:09:31.179Z	178.8759003	-37.15220261	4.9	20.0	gisborne
2016p696613	2016-09-14T17:55:43.619Z	178.9394989	-37.18627167	4.5	18.1	gisborne
2016p697791	2016-09-15T04:23:18.177Z	178.9693909	-37.18445969	4.1	19.8	gisborne
2016p719587	2016-09-23T05:56:27.061Z	179.0021362	-37.37324905	5.1	13.2	gisborne
2016p719632	2016-09-23T06:20:13.206Z	178.9363403	-37.28098679	4.0	20.9	gisborne
2016p727623	2016-09-26T05:17:32.796Z	178.9277954	-37.42869568	4.5	16.0	gisborne
2016p738411	2016-09-30T05:05:37.934Z	179.247879	-37.25913239	4.1	14.5	gisborne
2016p740427	2016-09-30T22:59:44.476Z	174.5964966	-41.09365463	4.3	33.8	wellington-marlborough
2016p743473	2016-10-02T02:02:24.660Z	178.8811188	-37.31144333	4.1	20.0	gisborne
2016p745536	2016-10-02T20:21:48.140Z	179.0563049	-37.05749893	4.6	16.3	gisborne
2016p746669	2016-10-03T06:25:32.085Z	179.1715393	-37.12469864	4.8	20.0	gisborne
2016p753668	2016-10-05T20:34:42.232Z	178.8453522	-37.21491241	4.2	20.4	gisborne
